ID,Host,Isolate
OM339160,,21V810771
OM339159,,20V161714
MZ603079,,HAstV-3_RVAB
MZ603076,,HAstV-VA2_RVAB
MZ603074,,HAstV-1_2_RVAB
MZ603072,,HAstV-1_1_RVAB
MZ603071,,HAstV-MLB1_RVAB
MP874225,,
MP874224,,
MP874223,,
MP874222,,
MP874221,,
MP874220,,
MP874219,,
MP874218,,
MW347540,,4zj-RDRP-3
MW347048,,2wh-RDRP-8
MW346737,,1aq-RDRP-4
MT457857,,
MT138015,,rtr167ast1nc
MT138012,,rob180ast1nc
MT138011,,prf038ast1
MT138010,,prf037ast2
MT138007,,ltr178ast1
MT138005,,hwf041ast1
MT138002,,cra070ast1
MT137999,,coa196ast1
MT137996,,cfe153ast01
MT138016,,rtr168ast1
MT138014,,rob181ast2
MT138013,,rob181ast1
MT138009,,prf037ast1nc
MT138008,,ltt163ast1
MT138006,,hwf182ast2
MT138004,,hftbif16ast1nc
MT138003,,ecw123ast1
MT138001,,coa197ast1
MT138000,,coa196ast2nc
MT137998,,cftbif23ast2nc
MT137997,,cfe153ast02
MT137995,,bun145astnc1
MT137994,,bsk136ast01
MT137993,,brb026ast1
MT137992,,bfb201ast01
MT137991,,bbr144ast1
MN920672,,ytb090ast01
MN920671,,ytb089ast01
MN920670,,ybw202ast01
MN920669,,ybb150ast01
MN920668,,war204ast1
MN920667,,tom152ast2
MN920666,,tom152ast1
MN920665,,stc111ast1
MN920664,,sru051ast1
MN920663,,spa143ast1
EU030319,,
EU030318,,
EU030317,,
EU030316,,
EU030315,,
EU030314,,
EU030313,,
EU030312,,
EU030311,,
EU030310,,
EU030309,,
EU030308,,
EU030307,,
EU030306,,
EU030305,,
EU030304,,
EU030303,,
EU030302,,
EU030301,,
EU030300,,
EU030299,,
EU030298,,
EU030297,,
EU030296,,
EU030295,,
EU030294,,
EU030293,,
EU030292,,
EU030291,,
EU030290,,
EU030289,,
EU030288,,
EU030287,,
DQ517523,,
AF440797,,
AF440796,,
AF440795,,
AF440794,,
AF440793,,
AF440792,,
AF440791,,
AF440309,,CAV3H
AF440308,,CAV3G
AF440307,,CAV3F
AF440306,,CAV3E
AF440305,,CAV3D
AF440304,,CAV3C
AF440303,,CAV3B
AF440302,,CAV3A
AF440301,,CAV2C
AF440300,,CAV2B
AF440299,,CAV2A
AF440298,,CAV1G
AF440297,,CAV1F
AF440296,,CAV1E
AF440295,,CAV1D
AF440294,,CAV1C
AF440293,,CAV1B
AF440292,,CAV1A
AF348801,,Bcn8.6
AF348800,,Bcn8.5
AF348799,,Bcn8.4
AF348798,,Bcn8.3
AF348797,,Bcn8.2
AF348796,,Bcn8.1
AF348795,,Bcn4.12
AF348794,,Bcn4.11
AF348793,,Bcn4.10
AF348792,,Bcn4.9
AF348791,,Bcn4.8
AF348790,,Bcn4.7
AF348789,,Bcn4.6
AF348788,,Bcn4.5
AF348787,,Bcn4.4
AF348786,,Bcn4.3
AF348785,,Bcn4.2
AF348784,,Bcn4.1
AF348783,,Bcn3.10
AF348782,,Bcn3.9
AF348781,,Bcn3.8
AF348780,,Bcn3.7
AF348779,,Bcn3.6
AF348778,,Bcn3.5
AF348777,,Bcn3.4
AF348776,,Bcn3.3
AF348775,,Bcn3.2
AF348774,,Bcn3.1
AF348773,,Bcn2.3
AF348772,,Bcn2.2
AF348771,,Bcn2.1
AF348770,,Bcn1.18
AF348769,,Bcn1.17
AF348768,,Bcn1.16
AF348767,,Bcn1.15
AF348766,,Bcn1.14
AF348765,,Bcn1.13
AF348764,,Bcn1.12
AF348763,,Bcn1.11
AF348762,,Bcn1.10
AF348761,,Bcn1.9
AF348760,,Bcn1.8
AF348759,,Bcn1.7
AF348758,,Bcn1.6
AF348757,,Bcn1.5
AF348756,,Bcn1.4
AF348755,,Bcn1.3
AF348754,,Bcn1.2
AF348753,,Bcn1.1
AF292072,,
MN123726,,Viet83
MN123725,,Viet74
MN123724,,Viet64
MN123723,,Viet56
MN123722,,Viet47
MN123721,,Viet39
KC285188,,Rus-Nsc12-N4431
KC285187,,Rus-Nsc12-N4358
