Host;Isolate;class
Red-necked Avocet;"AstV/Red-necked Avocet/MW08/Interior; AstV/Red-necked Avocet/MW09/Interior";Aves
Rhinolophus pusillus;234944(Zhejiang);Mammalia
Rhinolophus sp. (bat);"BAOB-016; CHI-1358; CHI-1410; CHI-1418; CHI-1420; CHI-1453; CHI-1457; CHI-1468; CHI-1592; CHI-1607; CHI-1639; CHI-1657; CHI-1676; CHI-1700; CHI-425; CHI-450; MAG-09; MAG-1143; MAG-146; MAG-241; MAG-242; MAG-549; MAG-556a; MAG-556b; MAG-568; MAG-570; MAG-573a; MAG-573b; MAG-578; MAG-591; MAG-840; MAG-859; MAG-862";Mammalia
Rhinolophus thomasi;"H128; H17; H27; H30; H57; H64; H83";Mammalia
Rousettus madagascariensis;;Mammalia
Roussetus leschenaulti;"G128; G164; G53; G60; G71; G84";Mammalia
Scotomannes kuhlii;"LSSK39; LSSK4";Mammalia
Scotophilus dinganii;TZ32357;Mammalia
Scotophilus kuhlii;"232416(Guangdong); 232422(Guangdong); 232423(Guangdong); 232424(Guangdong); 232426(Guangdong); 232436(Guangdong); 232438(Guangdong); 232439(Guangdong); 232440(Guangdong); 232444(Guangdong); 232447(Guangdong); 232449(Guangdong); 232451(Guangdong); 232611(Guangdong); 232627(Guangdong); 232630(Guangdong); 232632(Guangdong); 232633(Guangdong); 232634(Guangdong)";Mammalia
Solanum melongena L.;;Magnoliopsida
Steer;;Mammalia
Su. murinus;"K8f_52_Astrovirus_shrew_240620; Rhabdo_Mix_4_123_Astrovirus_shrew_240620";Mammalia
Sus scrofa (domestic pig);"PAstV/1101/MN; PAstV/1102/IL; PAstV/1103/IL; PAstV/1104/MN; PAstV/1105/Mex; PAstV/1106/Mex; PAstV/1107/TN; PAstV/1108/SD; PAstV/1109/MN; PAstV/1110/AZ; PAstV/1111/MS; PAstV/1112/VA; PAstV/1113/AZ; PAstV/1114/SD; PAstV/1115/MS; PAstV/1116/PA; PAstV/1117/MN; PAstV/1118/NC; PAstV/1119/MS; PAstV/1120/TN; PAstV/1121/MN; PAstV/1122/MN; PAstV/1123/MN; PAstV/1124/IL; PAstV/1125/NE; PAstV/1126/MN; PAstV/1127/MN; PAstV/1128/VA; PAstV/1129/MN; PAstV/1130/MN; PAstV/1131/MN; PAstV/1132/MN; PAstV/1133/NC; PAstV/1134/KS; PAstV/1135/OK; PAstV/1136/SD; PAstV/1137/NE; PAstV/1138/Mex; PAstV/1139/NC; PAstV/1140/OK; PAstV/1141/Mex; PAstV/1142/MN; PAstV/1143/MS; PAstV/1144/MN; PAstV/1145/MN; PAstV/1146/MN; PAstV/1147/MN; PAstV/1148/MN; PAstV/1149/OK; PAstV/1150/MN; PAstV/1151/IL; PAstV/1152/Can; PAstV/1153/IL; PAstV/1154/IL; PAstV/1155/IL; PAstV/1156/IA";Mammalia
Sus scrofa domestica (domestic swine);;Mammalia
Sus scrofa domesticus (pig);"PAstV1_KOR/1006-2/2020_Brain; PAstV2_KOR/1006-2/2020_Intestine; PAstV2_KOR/1295/2020_Intestine1; PAstV3_KOR/1295/2020_Brain; PAstV4_KOR/1006-1/2020_Intestine; PAstV4_KOR/1006-2/2020_Brain; PAstV4_KOR/1006-2/2020_Intestine; PAstV4_KOR/1096/2020_Intestine; PAstV4_KOR/1295/2020_Intestine1; PAstV4_KOR/1295/2020_Intestine2; PAstV5_KOR/0983/2020_Brain1; PAstV5_KOR/0983/2020_Brain2; PAstV5_KOR/1006-2/2020_Brain; PAstV5_KOR/1295/2020_Brain";Mammalia
Tadarida brasiliensis bat;Tb-AstV33;Mammalia
Tadarida sp.;"Astrovirus_PREDICT MAstV-191/AATBZ; Astrovirus_PREDICT MAstV-191/AATKB";Mammalia
Taphozous melanopogon;"230776(Guangxi); 230777(Guangxi); 230780(Guangxi); 230781(Guangxi); 230782(Guangxi); 230783(Guangxi); 230784(Guangxi); 230785(Guangxi); 230786(Guangxi); 230787(Guangxi); 230788(Guangxi); 230791(Guangxi); 230792(Guangxi); 230793(Guangxi); 230794(Guangxi); 230795(Guangxi); 230797(Guangxi); 231009(Guangxi); 231010(Guangxi); 231011(Guangxi); 231014(Guangxi); 231015(Guangxi)";Mammalia
Tarentola mauritanica;"RI111; RI112";Mammalia
Triaenops menamena;"SMG17410; SMG17411; SMG17412; SMG17457; SMG17462";Mammalia
Tursiops truncatus (Bottlenose dolphin);;Mammalia
Tylonycteris robustula;230911(Guangxi);Mammalia
Vulpes vulpes (fox);"Mastv/fox/46/IT; Pl1.1; Pl1.2; Pl1.3; Pl1.4; Pl1.5";Mammalia
Wood pigeon;;Aves
bat;"BAstV/RB; CHI-1045; CHI-1105; CHI-1123; CHI-1471; CHI-1476; CHI-1477; CHI-1546; CHI-1551; CHI-1565; CHI-1569; CHI-1704; GF-7a; MAG-425; MAG-595; MAG-617; MAG-660; MAG-661; MAG-663; MAG-883; MAG-958";Mammalia
bird;"XZN01; YSN01; YSN02";Aves
buffalo;"BHC14; BHC22; HX1; HX3; HX4; HX5; HX6; NNA11; NNA12; NNA13; NNA14; NNA15; NNA17; NNA6; NNA7; NNC286; NNC296; NNDS16; NNDS2";Mammalia
calf;;Mammalia
calf (bovine);"BAstV-HT1-TUR; BAstV-HT2-TUR; BAstV-HT3-TUR; BAstV-HT4-TUR";Mammalia
