ID белка,Название семейства/белка,Описание предсказания,Источник предсказания,Вхождение из orf,ORF,id_prefix,coords,strand
PQ110289_4,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ110289,1871-2188,+
PQ110289_4,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ110289,1871-2188,+
PQ110289_4,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ110289,1871-2188,+
PQ110289_4,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ110289,1871-2188,+
PQ110289_1,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,,1A,PQ110289,2-883,+
PQ110289_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ110289,1280-1501,+
PQ110289_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ110289,1280-1501,+
PQ110289_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ110289,1280-1501,+
MN733910_2,MFS transporter superfamily,MFS general substrate transporter like domains,Gene3D,-,-,MN733910,3-458,+
MN733910_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN733910,3-458,+
MN733910_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN733910,3-458,+
MN733910_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN733910,3-458,+
MN733910_2,"Sugar transporter, conserved site",Sugar transport proteins signature 1.,ProSitePatterns,-,-,MN733910,3-458,+
MN733910_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN733910,3-458,+
MN733910_2,Proton-coupled symporters,ALPHA-KETOGLUTARATE PERMEASE,PANTHER,-,-,MN733910,3-458,+
MN733910_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN733910,3-458,+
MN733910_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN733910,3-458,+
MN733910_2,"Sugar transporter, conserved site",Sugar transport proteins signature 2.,ProSitePatterns,-,-,MN733910,3-458,+
MN733910_2,Major facilitator superfamily domain,Major facilitator superfamily (MFS) profile.,ProSiteProfiles,-,-,MN733910,3-458,+
MN733910_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN733910,3-458,+
MN733910_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN733910,3-458,+
MN733910_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN733910,3-458,+
MN733910_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN733910,3-458,+
MN733910_2,Major facilitator superfamily,Major Facilitator Superfamily,Pfam,-,-,MN733910,3-458,+
MN733910_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN733910,3-458,+
MN733910_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN733910,3-458,+
MN733910_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN733910,3-458,+
MN733910_2,MFS transporter superfamily,MFS general substrate transporter,SUPERFAMILY,-,-,MN733910,3-458,+
PP512783_23,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783,4051-3650,-
PP512783_23,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783,4051-3650,-
PP512783_23,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783,4051-3650,-
PP512783_23,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783,4051-3650,-
PP512783_14,-,Coil,Coils,-,-,PP512783,4878-5123,+
MN036159_16,Reverse transcriptase/Diguanylate cyclase domain,-,Gene3D,-,-,MN036159,2005-296,-
MN036159_16,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,MN036159,2005-296,-
MN036159_16,"RNA-directed RNA polymerase, catalytic domain",RdRp of positive ssRNA viruses catalytic domain profile.,ProSiteProfiles,-,-,MN036159,2005-296,-
MN036159_16,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,MN036159,2005-296,-
PP512783_29,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783,2853-2650,-
OP474168_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,OP474168,463-191,-
OP474168_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,OP474168,463-191,-
OP474168_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,OP474168,463-191,-
OP474168_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,OP474168,463-191,-
OP474168_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,OP474168,463-191,-
OP474168_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,OP474168,463-191,-
OP474168_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,OP474168,463-191,-
OP474168_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,OP474168,463-191,-
OP474168_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,OP474168,463-191,-
MN036159_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN036159,196-402,+
MN036159_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN036159,196-402,+
MN036159_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN036159,196-402,+
MN036159_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN036159,196-402,+
PP512783_15,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783,5165-4953,-
PP512783_15,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783,5165-4953,-
PP512783_15,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783,5165-4953,-
PP512783_15,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783,5165-4953,-
PP512783_15,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783,5165-4953,-
PP512783_15,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783,5165-4953,-
PP512783_15,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783,5165-4953,-
OR800315_2,-,consensus disorder prediction,MobiDBLite,-,-,OR800315,140-397,+
OR800315_2,-,consensus disorder prediction,MobiDBLite,-,-,OR800315,140-397,+
OR800315_2,-,consensus disorder prediction,MobiDBLite,-,-,OR800315,140-397,+
OR800315_2,-,consensus disorder prediction,MobiDBLite,-,-,OR800315,140-397,+
OR800315_2,-,SignalP-TM,SignalP_GRAM_POSITIVE,-,-,OR800315,140-397,+
PP512783_8,-,consensus disorder prediction,MobiDBLite,-,-,PP512783,3151-3660,+
PP512783_8,"Astrovirus capsid protein, inner core domain",Astrovirus capsid protein nucleoplasmin-like domain,Pfam,,2,PP512783,3151-3660,+
PP512783_36,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783,1574-1401,-
PP512783_36,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783,1574-1401,-
PP512783_36,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783,1574-1401,-
PP512783_36,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783,1574-1401,-
PP512783_36,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783,1574-1401,-
PP512783_36,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783,1574-1401,-
MN036159_1,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN036159,56-316,+
MN036159_1,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN036159,56-316,+
MN036159_1,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN036159,56-316,+
MN036159_1,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN036159,56-316,+
PP512783_6,-,ps-ssRNAv_Astroviridae_RdRp,CDD,-,-,PP512783,1880-2953,+
PP512783_6,"RNA-directed RNA polymerase, catalytic domain",RdRp of positive ssRNA viruses catalytic domain profile.,ProSiteProfiles,-,-,PP512783,1880-2953,+
PP512783_6,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,PP512783,1880-2953,+
PP512783_6,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,PP512783,1880-2953,+
PP512783_19,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783,4598-4425,-
PP512783_19,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783,4598-4425,-
PP512783_19,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783,4598-4425,-
PP512783_24,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783,3573-3412,-
PP512783_24,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783,3573-3412,-
PP512783_24,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783,3573-3412,-
PP512783_24,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783,3573-3412,-
PP512783_4,"Peptidase S1, PA clan, chymotrypsin-like fold",-,Gene3D,-,-,PP512783,879-1895,+
PP512783_4,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,,1A,PP512783,879-1895,+
PP512783_4,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,,1A,PP512783,879-1895,+
