,Host
FJ605161,turkey
FJ605160,turkey
FJ605159,turkey
FJ605158,turkey
FJ605157,turkey
FJ605156,turkey
FJ605155,turkey
AF474921,NA
AF474920,NA
AF474919,NA
AF474918,NA
AF474917,NA
AF474916,NA
AF474915,NA
AF474914,NA
AF474913,NA
AF474912,NA
AF474911,NA
AF474910,NA
AF474909,NA
AF474908,NA
AF474907,NA
AF474906,NA
AF474905,NA
AF474904,NA
AF474903,NA
AF474902,NA
AF474901,NA
AF474900,NA
EF195478,NA
EF195477,NA
EF195476,NA
EF195475,NA
EF195474,NA
EF195473,NA
EF195472,NA
EF195471,NA
EF195470,NA
EF195469,NA
EF195468,NA
EF195467,NA
EF195466,NA
EF195465,NA
EF195464,NA
EF195463,NA
EF195462,NA
EF195461,NA
EF195460,NA
EF195459,NA
EF195458,NA
EF195457,NA
EF195456,NA
EF195455,NA
EF195454,NA
EF195453,NA
EF195452,NA
EF195451,NA
EF195450,NA
EF195449,NA
EF195448,NA
EF195447,NA
EF195446,NA
EF195445,NA
EF195444,NA
EF195443,NA
EF195442,NA
EF195441,NA
EF195440,NA
EF195439,NA
EF195438,NA
EF195437,NA
EF195436,NA
EF195435,NA
EF195434,NA
EF195433,NA
EF195432,NA
EF195431,NA
EF195430,NA
EF195429,NA
EF195428,NA
EF195427,NA
EF195426,NA
EF195425,NA
EF195424,NA
EF195423,NA
EF195422,NA
EF195421,NA
EF195420,NA
EF195419,NA
EF195418,NA
EF195417,NA
EF195416,NA
EF195415,NA
EF195414,NA
EF195413,NA
EF195412,NA
EF195411,NA
EF195410,NA
EF195409,NA
EF195408,NA
EF195407,NA
EF195406,NA
EF195405,NA
EF195404,NA
EF195403,NA
EF195402,NA
EF195401,NA
EF195400,NA
EF195399,NA
EF195398,NA
EF195397,NA
EF195396,NA
EF195395,NA
EF195394,NA
EF195393,NA
EF195392,NA
EF195391,NA
EF195390,NA
EF195389,NA
EF195388,NA
EF195387,NA
EF195386,NA
EF195385,NA
EF490428,NA
EF490427,NA
EF490426,NA
EF490425,NA
EF519313,NA
EF519312,NA
AF290509,NA
AF290508,NA
AF290507,NA
AF290506,NA
AF290505,NA
AF290504,NA
AF292079,NA
AF248738,NA
KX266908,Bos taurus
KX266907,Bos taurus
KX266906,Bos taurus
KX266905,Bos taurus
KX266904,Bos taurus
KX266903,Bos taurus
KX266902,Bos taurus
KX266901,Bos taurus
AY027809,NA
AF257229,NA
AF257228,NA
AF257227,NA
AF257225,NA
AF257224,NA
AF257223,NA
AF257222,NA
AF257221,NA
KM083104,pig
KM083103,pig
DQ990461,NA
DQ990460,NA
EF100670,NA
DQ887692,Homo sapiens
DQ887691,Homo sapiens
DQ887690,Homo sapiens
DQ887689,Homo sapiens
DQ887688,Homo sapiens
DQ788612,NA
DQ788611,NA
DQ788610,NA
DQ788609,NA
DQ788608,NA
DQ788607,NA
DQ788606,NA
DQ788605,NA
DQ788604,NA
DQ788603,NA
DQ788602,NA
DQ788601,NA
DQ788600,NA
DQ788599,NA
DQ788598,NA
DQ788597,NA
DQ788596,NA
DQ788595,NA
DQ788594,NA
DQ788593,NA
DQ788592,NA
DQ788591,NA
DQ788590,NA
DQ659100,NA
DQ381388,Guinea fowl
DQ381382,Guinea fowl
DQ381361,NA
AY007590,NA
AY007589,NA
AY007587,NA
AY007586,NA
AY007584,NA
AY007583,NA
AY007582,NA
AY007581,NA
AY007580,NA
AY007579,NA
AY007578,NA
AY007591,NA
AY007588,NA
AY007585,NA
AY007577,NA
KU973899,Homo sapiens
KU973898,Homo sapiens
KU973897,Homo sapiens
KU973896,Homo sapiens
KU973895,Homo sapiens
KU973894,Homo sapiens
KU764486,swine
KU764485,swine
KU764484,swine
JF414802,chicken
KX290465,duck
JQ045383,Homo sapiens
JQ045382,Homo sapiens
KU253625,chicken
KF211475,Homo sapiens
KF211474,Homo sapiens
KF211473,Homo sapiens
KF211472,Homo sapiens
KF211471,Homo sapiens
KF211470,Homo sapiens
KF211469,Homo sapiens
KF211468,Homo sapiens
KF211467,Homo sapiens
KF211466,Homo sapiens
KF211465,Homo sapiens
KF211464,Homo sapiens
KF211463,Homo sapiens
KF211462,Homo sapiens
KF211461,Homo sapiens
KF211460,Homo sapiens
KT355320,turkey
KT355319,turkey
KT355318,turkey
KT355317,turkey
KT355316,turkey
KT355315,turkey
KT355314,turkey
KT355313,turkey
KT355312,turkey
KT355311,turkey
KT355310,turkey
KT355309,turkey
KT355308,turkey
KT355307,turkey
KT355306,turkey
KT355305,turkey
KT355304,turkey
KT355303,turkey
KT355302,turkey
KT355301,turkey
KT355300,turkey
KT355299,turkey
KT355298,turkey
KT355297,turkey
KT355296,turkey
KT355295,turkey
KT355294,turkey
KT355293,turkey
KT355292,turkey
KT355291,turkey
KT355290,turkey
KT355289,turkey
KT355288,turkey
KT355287,turkey
KT355286,turkey
KT355285,turkey
KT355284,turkey
KT355283,turkey
KT355282,turkey
KT355281,turkey
KT355280,turkey
KT355279,turkey
KT355278,turkey
KT355277,turkey
KT355276,turkey
KT355275,turkey
KT355274,turkey
KT355273,turkey
KT355272,turkey
KT355271,turkey
KT355270,turkey
LN879482,Bos taurus
KP982872,Sus scrofa
KT224358,Homo sapiens
AF056197,NA
KU318568,Homo sapiens
KU318567,Homo sapiens
KU318566,Homo sapiens
KU318565,Homo sapiens
KU318564,Homo sapiens
KU318563,Homo sapiens
KU318562,Homo sapiens
KU318561,Homo sapiens
KU318560,Homo sapiens
KU318559,Homo sapiens
KU318558,Homo sapiens
KU318557,Homo sapiens
KU318556,Homo sapiens
KU318555,Homo sapiens
KU318554,Homo sapiens
KU318553,Homo sapiens
KU318552,Homo sapiens
KU318551,Homo sapiens
KU318550,Homo sapiens
KU318549,Homo sapiens
KU318548,Homo sapiens
KU318547,Homo sapiens
KU318546,Homo sapiens
KU318545,Homo sapiens
KU318544,Homo sapiens
KU318543,Homo sapiens
KU318542,Homo sapiens
KU318541,Homo sapiens
KU318540,Homo sapiens
KU318539,Homo sapiens
KU318538,Homo sapiens
KU318537,Homo sapiens
KU318536,Homo sapiens
KU318535,Homo sapiens
KU318534,Homo sapiens
KU318533,Homo sapiens
KU318532,Homo sapiens
KU318531,Homo sapiens
KU318530,Homo sapiens
KU318529,Homo sapiens
KU318528,Homo sapiens
KU318527,Homo sapiens
KU318526,Homo sapiens
KU318525,Homo sapiens
KU318524,Homo sapiens
KU318523,Homo sapiens
KU318522,Homo sapiens
KU318521,Homo sapiens
KU318520,Homo sapiens
KU318519,Homo sapiens
KU318518,Homo sapiens
KU318517,Homo sapiens
KU318516,Homo sapiens
KU318515,Homo sapiens
KU318514,Homo sapiens
KU318513,Homo sapiens
KU318512,Homo sapiens
KU318511,Homo sapiens
KU318510,Homo sapiens
KU318509,Homo sapiens
KU318508,Homo sapiens
KU318507,Homo sapiens
KU318506,Homo sapiens
KU318505,Homo sapiens
KU318504,Homo sapiens
KU318503,Homo sapiens
KU318502,Homo sapiens
KU318501,Homo sapiens
KU318500,Homo sapiens
KU318499,Homo sapiens
KU318498,Homo sapiens
KU318497,Homo sapiens
KU318496,Homo sapiens
KU318495,Homo sapiens
KU318494,Homo sapiens
KU318493,Homo sapiens
KU318492,Homo sapiens
KU318491,Homo sapiens
KU318490,Homo sapiens
KU318489,Homo sapiens
KU318488,Homo sapiens
KU318487,Homo sapiens
KU318486,Homo sapiens
KU318485,Homo sapiens
KU318484,Homo sapiens
KU318483,Homo sapiens
KU318482,Homo sapiens
KU318481,Homo sapiens
KU318480,Homo sapiens
KU318479,Homo sapiens
KU318478,Homo sapiens
KU318477,Homo sapiens
KU318476,Homo sapiens
KU318475,Homo sapiens
KU318474,Homo sapiens
KU318473,Homo sapiens
KU318472,Homo sapiens
KU318471,Homo sapiens
KU318470,Homo sapiens
KU318469,Homo sapiens
KU318468,Homo sapiens
KU318467,Homo sapiens
KU318466,Homo sapiens
KU318465,Homo sapiens
KU318464,Homo sapiens
KU318463,Homo sapiens
KU318462,Homo sapiens
KU318461,Homo sapiens
KU318460,Homo sapiens
KU318459,Homo sapiens
KU318458,Homo sapiens
KU318457,Homo sapiens
KU318456,Homo sapiens
KU318455,Homo sapiens
KU318454,Homo sapiens
KU508616,Homo sapiens
KU508615,Homo sapiens
KU508614,Homo sapiens
KU508613,Homo sapiens
KU508612,Homo sapiens
KU508611,Homo sapiens
KU508610,Homo sapiens
KU508609,Homo sapiens
KU508608,Homo sapiens
KU508607,Homo sapiens
KT749774,Homo sapiens
KT749773,Homo sapiens
KT749772,Homo sapiens
KT749771,Homo sapiens
KT749770,Homo sapiens
KT749769,Homo sapiens
KT749768,Homo sapiens
KT749767,Homo sapiens
KT749766,Homo sapiens
KT749765,Homo sapiens
KT749764,Homo sapiens
KT749763,Homo sapiens
KT749762,Homo sapiens
KT749761,Homo sapiens
KT598687,Felis catus
KT598686,Felis catus
KT598685,Felis catus
KT598684,Felis catus
KT598683,Felis catus
KT598682,Felis catus
KT598681,Felis catus
KT598680,Felis catus
KT598679,Felis catus
KT598678,Felis catus
KT598677,Felis catus
KT598676,Felis catus
KT598675,Felis catus
KT598674,Felis catus
KT598673,Felis catus
KT598672,Felis catus
KT598671,Felis catus
KT598670,Felis catus
KT598669,Felis catus
KT598668,Felis catus
KT598667,Felis catus
KT598666,Felis catus
KT598665,Felis catus
KU318321,Homo sapiens
KU318320,Homo sapiens
KU318319,Homo sapiens
KU318318,Homo sapiens
KU318317,Homo sapiens
KU318316,Homo sapiens
KU318315,Homo sapiens
KJ496050,Sus scrofa
KJ496049,Sus scrofa
KJ496048,Sus scrofa
KJ496047,Sus scrofa
KJ496046,Sus scrofa
KJ496045,Sus scrofa
KJ496044,Sus scrofa
KJ496043,Sus scrofa
KJ496042,Sus scrofa
KJ496041,Sus scrofa
KJ496040,Sus scrofa
KJ496039,Sus scrofa
KJ496038,Sus scrofa
KJ496037,Sus scrofa
KJ496036,Sus scrofa
KJ496034,Sus scrofa
KJ496033,Sus scrofa
KJ496032,Sus scrofa
KJ496031,Sus scrofa
KJ496030,Sus scrofa
KJ496029,Sus scrofa
KJ496028,Sus scrofa
KJ496027,Sus scrofa
KJ496026,Sus scrofa
KJ496025,Sus scrofa
KJ496024,Sus scrofa
KJ496023,Sus scrofa
KJ496022,Sus scrofa
KJ496021,Sus scrofa
KJ496020,Sus scrofa
KJ496019,Sus scrofa
KJ496018,Sus scrofa
KJ496017,Sus scrofa
KJ496016,Sus scrofa
KJ496015,Sus scrofa
KJ496014,Sus scrofa
KJ496013,Sus scrofa
KJ496012,Sus scrofa
KJ496011,Sus scrofa
KJ496010,Sus scrofa
KJ496009,Sus scrofa
KJ496008,Sus scrofa
KJ496007,Sus scrofa
KJ496006,Sus scrofa
KJ496005,Sus scrofa
KJ496004,Sus scrofa
KJ496003,Sus scrofa
KJ496002,Sus scrofa
KJ496001,Sus scrofa
KJ496000,Sus scrofa
KJ495999,Sus scrofa
KJ495998,Sus scrofa
KJ495997,Sus scrofa
KJ495996,Sus scrofa
KJ495995,Sus scrofa
KJ495994,Sus scrofa
KJ495993,Sus scrofa
KJ495992,Sus scrofa
KJ495991,Sus scrofa
KJ495990,Sus scrofa
KJ495989,Sus scrofa
KJ495988,Sus scrofa
KJ495987,Sus scrofa
KJ495986,Sus scrofa
KT386338,commercial broiler
KT386337,commercial broiler
KT386336,commercial broiler
KT386335,commercial broiler
KT386334,commercial broiler
KT386333,commercial broiler
KT386332,commercial broiler
KT386331,commercial broiler
KT386330,commercial broiler
KT386329,commercial broiler
KT386328,commercial broiler
KT386327,commercial broiler
KT440878,Sus scrofa
KT440871,Sus scrofa
KT440870,Sus scrofa
KT440869,Sus scrofa
KT440867,Sus scrofa
KT440866,Sus scrofa
KT440865,Sus scrofa
KT440864,Sus scrofa
KT440863,Sus scrofa
KT440862,Sus scrofa
KT440859,Sus scrofa
KT440858,Sus scrofa
KT440877,Sus scrofa
KT440876,Sus scrofa
KT440875,Sus scrofa
KT440874,Sus scrofa
KT440873,Sus scrofa
KT440872,Sus scrofa
KT440868,Sus scrofa
KT440861,Sus scrofa
KT440860,Sus scrofa
KT440857,Sus scrofa
KT376419,commercial broiler
KT376418,commercial broiler
KT376417,commercial broiler
KT376416,commercial broiler
KT376415,commercial broiler
KT376414,commercial broiler
KT376413,commercial broiler
KT376412,commercial broiler
KT376411,commercial broiler
KT355326,turkey
KT355325,turkey
KT355324,turkey
KT355323,turkey
KT355322,turkey
KT355321,turkey
KT003292,Myotis longipes
KT003291,Hipposideros larvatus
LC009661,NA
LC009660,NA
LC009659,NA
LC009658,NA
LC009657,NA
LC009656,NA
LC009655,NA
LC009654,NA
LC009653,NA
LC009652,NA
LC009651,NA
LC009650,NA
LC009649,NA
LC009648,NA
LC009647,NA
LC009646,NA
LC009645,NA
LC009644,NA
LC009643,NA
LC009642,NA
LC009641,NA
LC009640,NA
LC009639,NA
LC009638,NA
LC009637,NA
LC009636,NA
KT892967,Swine
KT892965,Swine
KT892963,Swine
KT892960,Swine
KT892956,Swine
KT892966,Swine
KT892964,Swine
KT892962,Swine
KT892961,Swine
KT892959,Swine
KT892958,Swine
KT892957,Swine
KT892955,Swine
KT892954,Swine
KT892953,Swine
KT852446,Macaca fascicularis
KT852439,Macaca mulatta
KT852437,Macaca mulatta
KT852436,Macaca fascicularis
KT852435,Macaca fascicularis
KT852434,Macaca mulatta
KT852433,Macaca mulatta
KT852432,Macaca mulatta
KT852431,Macaca mulatta
KT852430,Macaca mulatta
KT852429,Macaca mulatta
KT852428,Macaca mulatta
KT852427,Macaca mulatta
KT852426,Macaca mulatta
KT852425,Macaca mulatta
KT852424,Macaca mulatta
KT852423,Macaca mulatta
KT852422,Macaca mulatta
KT852421,Macaca mulatta
KT852420,Semnopithecus entellus
KT852419,Hylobatidae
KT852418,Macaca fascicularis
KT852417,Macaca fascicularis
KT852416,Macaca mulatta
KT852415,Macaca mulatta
KT852414,Macaca mulatta
KT852413,Macaca mulatta
KT852412,Macaca mulatta
KT852411,Macaca mulatta
KT852410,Macaca mulatta
KT852409,Macaca mulatta
KT852408,Semnopithecus entellus
KT852407,Macaca mulatta
KT852406,Papio anubis
KT852405,Chlorocebus pygerythrus
KT852404,Papio hamadryas
KT852403,Macaca mulatta
KT852402,Macaca mulatta
KT852401,Macaca mulatta
KT852400,Macaca mulatta
KT852399,Trachypithecus pileatus
KT852398,Macaca mulatta
KT852397,Macaca mulatta
KT852396,Macaca mulatta
KT852395,Macaca mulatta
KT852394,Macaca mulatta
KT852393,Macaca mulatta
KT852392,Macaca mulatta
KT852391,Macaca mulatta
KT852390,Macaca mulatta
KT852389,Macaca mulatta
KT852388,Macaca mulatta
KT852387,Macaca mulatta
KT852386,Macaca mulatta
KT852385,Macaca mulatta
KT852384,Macaca mulatta
KT852383,Macaca mulatta
KT852382,Macaca mulatta
KT852381,Macaca mulatta
KT852380,Macaca mulatta
KT852445,Macaca mulatta
KT852444,Macaca mulatta
KT852443,Macaca mulatta
KT852442,Macaca mulatta
KT852441,Semnopithecus entellus
KT852440,Trachypithecus pileatus
KT852438,Macaca mulatta
KT852448,Hoolock hoolock
KT852447,Macaca mulatta
KT599601,Macaca mulatta
KT599600,Macaca mulatta
KT599599,Macaca mulatta
KT599598,Macaca mulatta
KT599597,Macaca mulatta
KT599596,Macaca mulatta
KT599595,Macaca mulatta
KT599594,Macaca mulatta
KT599593,Macaca mulatta
KT599592,Macaca mulatta
KT599591,Macaca mulatta
KT599590,Macaca mulatta
KT599589,Macaca mulatta
KT599588,Macaca mulatta
KT599587,Macaca mulatta
KT599586,Macaca mulatta
KT599585,Macaca mulatta
KT599584,Macaca mulatta
KT599583,Macaca mulatta
KT599582,Macaca mulatta
KT599581,Macaca mulatta
KT599580,Macaca mulatta
KT599579,Macaca mulatta
KT599578,Macaca mulatta
KT599577,Macaca mulatta
KT599576,Macaca mulatta
KT599575,Macaca mulatta
KT599574,Macaca mulatta
KT599573,Macaca mulatta
KT599572,Macaca mulatta
KT599571,Macaca mulatta
KT599570,Macaca mulatta
KT599569,Macaca mulatta
KT599568,Macaca mulatta
KT599567,Macaca mulatta
KT599566,Macaca mulatta
KT599565,Macaca mulatta
KT599564,Macaca mulatta
KT599563,Macaca mulatta
KT599562,Macaca mulatta
KT599561,Macaca mulatta
KP747601,pig
KP747600,pig
KP747599,pig
KP747598,pig
KP747597,pig
KP747596,pig
KP747595,pig
KP747594,pig
KP747593,pig
KP747592,pig
KP747591,pig
KP747590,pig
KP747589,pig
KP747588,pig
KP747587,pig
KP747586,pig
KP747585,pig
KP747584,pig
KP747583,pig
KP747582,pig
KP747581,pig
KP747580,pig
KP747579,pig
KP747578,pig
KP747577,pig
KP747576,pig
KP747575,pig
KP747574,pig
KP747573,porcine
KM401565,NA
KT159913,Homo sapiens
KT159911,Homo sapiens
KT159910,Homo sapiens
KT159909,Homo sapiens
KT159908,Homo sapiens
KT159907,Homo sapiens
KT159906,Homo sapiens
KT965675,Hypothymis azurea
KT965674,Hypothymis azurea
KT008050,Megaerops kusnotoi
KT003283,Megaerops kusnotoi
KT894920,Plecotus auritus
KT894919,Plecotus auritus
KT894918,Plecotus auritus
KT894917,Plecotus auritus
KT894916,Myotis nattereri
KT894915,Myotis nattereri
KT894914,Myotis nattereri
KT894913,Myotis nattereri
KT894912,Myotis nattereri
KT894911,Myotis nattereri
KT894910,Myotis nattereri
KT894909,Myotis nattereri
KT894908,Myotis nattereri
KT894907,Myotis nattereri
KT894906,Myotis nattereri
KT894905,Myotis nattereri
KT894904,Myotis nattereri
KT894903,Myotis nattereri
KT894902,Myotis nattereri
KT894901,Myotis nattereri
KT894900,Myotis nattereri
KT894899,Myotis nattereri
KT894898,Myotis nattereri
KT894897,Myotis daubentonii
KT894896,Myotis daubentonii
KT894895,Myotis daubentonii
KT894894,Myotis daubentonii
KT894893,Myotis daubentonii
KT894892,Myotis daubentonii
KT894891,Myotis daubentonii
KT894890,Myotis daubentonii
KT894889,Myotis daubentonii
KT894888,Myotis daubentonii
KT894887,Myotis daubentonii
KT894886,Myotis daubentonii
KT894885,Myotis daubentonii
KT894884,Myotis daubentonii
KT894883,Myotis daubentonii
KT894882,Myotis daubentonii
KT894881,Myotis bechsteinii
KT894880,Myotis bechsteinii
KT894879,Myotis bechsteinii
KT894878,Myotis bechsteinii
KT894877,Myotis bechsteinii
KT894876,Myotis bechsteinii
KT894875,Myotis bechsteinii
KT894874,Myotis bechsteinii
KP008372,Gallus gallus
KR364729,Homo sapiens
KR364728,Homo sapiens
KR364727,Homo sapiens
LC047787,Bos taurus
LC047788,Bos taurus
LC047789,Bos taurus
LC047801,Bos taurus
LC047800,Bos taurus
LC047799,Bos taurus
LC047798,Bos taurus
LC047797,Bos taurus
LC047796,Bos taurus
LC047795,Bos taurus
LC047794,Bos taurus
LC047793,Bos taurus
LC047792,Bos taurus
LC047791,Bos taurus
LC047790,Bos taurus
KR052479,Gallus gallus
KR013276,Gallus gallus
KR013275,Gallus gallus
KR013274,Gallus gallus
KR013273,Gallus gallus
KR013272,Gallus gallus
KR013271,Gallus gallus
KR013270,Gallus gallus
KR013269,Gallus gallus
KR013268,Gallus gallus
KR013267,Gallus gallus
KR013266,Gallus gallus
KR013265,Gallus gallus
KR013264,Gallus gallus
KR013263,Gallus gallus
KR013262,Gallus gallus
KR013261,Gallus gallus
KR013260,Gallus gallus
KR013259,Gallus gallus
KR013258,Gallus gallus
KR013257,Gallus gallus
KR013256,Gallus gallus
KR013255,Gallus gallus
KR013254,Gallus gallus
KR013253,Gallus gallus
KR013252,Gallus gallus
KR013251,Gallus gallus
KR013250,Gallus gallus
KR013249,Gallus gallus
KP942593,Homo sapiens
KP942592,Homo sapiens
KP942591,Homo sapiens
KP942590,Homo sapiens
KP942589,Homo sapiens
KP942588,Homo sapiens
KP942587,Homo sapiens
KP942586,Homo sapiens
KP942585,Homo sapiens
KP942584,Homo sapiens
KP942583,Homo sapiens
KP942582,Homo sapiens
KR007588,NA
KR007587,NA
KR007586,NA
KR007585,NA
KM408171,Homo sapiens
KM408170,Homo sapiens
KM269070,Homo sapiens
KM269069,Homo sapiens
KM269068,Homo sapiens
KM269067,Homo sapiens
KM269066,Homo sapiens
KM269065,Homo sapiens
KM269064,Homo sapiens
KM269063,Homo sapiens
KM269062,Homo sapiens
KM269061,Homo sapiens
KM269060,Homo sapiens
KM269059,Homo sapiens
KM269058,Homo sapiens
KM269057,Homo sapiens
KM269056,Homo sapiens
KM269055,Homo sapiens
KM269054,Homo sapiens
KM269053,Homo sapiens
KM269052,Homo sapiens
KM269051,Homo sapiens
KM269050,Homo sapiens
KM269049,Homo sapiens
KM269048,Homo sapiens
KM269047,Homo sapiens
KM269046,Homo sapiens
KM269045,Homo sapiens
KM269044,Homo sapiens
KM269043,Homo sapiens
KM269042,Homo sapiens
KM269041,Homo sapiens
KM269040,Homo sapiens
KM269039,Homo sapiens
KC294577,NA
KC294576,NA
KP242038,Homo sapiens
KP843564,Pipistrellus nathusii;Pipistrellus pygmaeus
KP843563,Rhinolophus hipposideros
KP843562,Myotis emarginatus
KP843561,Vespertilio murinus
KP843560,Pipistrellus pipistrellus
KP843559,Myotis mystacinus
KP843558,Nyctalus noctula
KR007771,swine
KR007770,swine
KR007769,swine
KR007768,swine
KR007767,swine
KR007766,swine
KR007765,swine
KR007764,swine
KR007763,swine
KR007762,swine
KR007761,swine
KR007760,swine
KR007759,swine
KR007758,swine
KR007757,swine
KR007756,swine
KR007755,swine
KR007754,swine
KR007753,swine
KP862744,Homo sapiens
KM272967,Homo sapiens
KM272966,Homo sapiens
KM272965,Homo sapiens
KM272964,Homo sapiens
KM272963,Homo sapiens
KM272962,Homo sapiens
KM272961,Homo sapiens
KM272960,Homo sapiens
KM272959,Homo sapiens
KM272958,Homo sapiens
KM272957,Homo sapiens
KM272956,Homo sapiens
KM272955,Homo sapiens
KM272954,Homo sapiens
KM272953,Homo sapiens
KM272952,Homo sapiens
KM272969,Homo sapiens
KM272968,Homo sapiens
KM254169,chicken
KM254168,chicken
KM254167,chicken
KM254166,chicken
KR868724,Camelus dromedarius
KR868723,Camelus dromedarius
KR868722,Camelus dromedarius
KR868721,Camelus dromedarius
KP759770,pig
LC009678,NA
LC009677,NA
LC009676,NA
LC009675,NA
LC009674,NA
LC009673,NA
LC009672,NA
LC009671,NA
LC009670,NA
LC009669,NA
LC009668,NA
LC009667,NA
LC009666,NA
LC009665,NA
LC009664,NA
LC009663,NA
LC009662,NA
LC009684,NA
LC009683,NA
LC009682,NA
LC009681,NA
LC009680,NA
LC009679,NA
KJ807529,Homo sapiens
KJ807528,Homo sapiens
KJ807527,Homo sapiens
KJ807526,Homo sapiens
KJ807525,Homo sapiens
KJ807524,Homo sapiens
KJ807523,Homo sapiens
KJ807522,Homo sapiens
KJ807521,Homo sapiens
KJ807520,Homo sapiens
KJ807519,Homo sapiens
KJ807518,Homo sapiens
KJ807517,Homo sapiens
KJ807516,Homo sapiens
KJ807515,Homo sapiens
KJ807514,Homo sapiens
KJ807513,Homo sapiens
KJ807512,Homo sapiens
KJ807511,Homo sapiens
KJ807510,Homo sapiens
KJ807509,Homo sapiens
KJ807508,Homo sapiens
KJ807507,Homo sapiens
KJ807506,Homo sapiens
KJ807505,Homo sapiens
KJ807504,Homo sapiens
KJ807503,Homo sapiens
KJ807502,Homo sapiens
KJ807501,Homo sapiens
KJ807500,Homo sapiens
KJ807499,Homo sapiens
KJ807498,Homo sapiens
KJ807497,Homo sapiens
KJ807496,Homo sapiens
KJ807495,Homo sapiens
KJ807494,Homo sapiens
KJ807493,Homo sapiens
KJ807492,Homo sapiens
KJ807491,Homo sapiens
KJ807490,Homo sapiens
KJ807489,Homo sapiens
KJ807488,Homo sapiens
KJ807487,Homo sapiens
KJ807486,Homo sapiens
KJ807485,Homo sapiens
KJ807484,Homo sapiens
KJ807483,Homo sapiens
KJ807482,Homo sapiens
KJ807481,Homo sapiens
KJ807480,Homo sapiens
KJ807479,Homo sapiens
KJ807478,Homo sapiens
KJ807477,Homo sapiens
KJ807476,Homo sapiens
KJ777802,Homo sapiens
KJ777801,Homo sapiens
KJ777800,Homo sapiens
KJ656124,Homo sapiens
KJ476856,water buffalo
KJ476855,water buffalo
KJ476854,water buffalo
KJ476853,water buffalo
KJ476852,water buffalo
KJ476851,water buffalo
KJ476850,cattle
KJ476849,cattle
KJ476848,cattle
KJ476847,cattle
KJ476846,cattle
KJ476845,cattle
KJ476844,cattle
KJ476843,cattle
KJ476842,cattle
KJ476841,cattle
KJ476840,cattle
KJ476839,cattle
KJ476838,water buffalo
KJ476837,water buffalo
KJ476836,cattle
KJ476835,cattle
KJ476834,cattle
KJ476833,cattle
KJ476832,cattle
KJ935470,Homo sapiens
KJ935469,Homo sapiens
KJ935468,Homo sapiens
KJ935467,Homo sapiens
KJ935466,Homo sapiens
KJ935465,Homo sapiens
KR057184,Coracias garrulus (European roller)
KP663426,Coracias garrulus (European roller)
JX624774,Pekin duck
KF668570,Homo sapiens
JX624785,Landes goose
JX624784,Landes goose
JX624783,Landes goose
JX624782,Landes goose
JX624781,Ma duck
JX624780,Pekin duckling
JX624779,Pekin duck
JX624778,Pekin duck
JX624777,Pekin duck
JX624776,Pekin duck
JX624775,Pekin duck
JX624773,Pekin duck
KP636526,NA
KP636525,NA
KP636524,NA
KP636523,NA
KP636522,NA
KP636521,NA
KP636520,NA
KP264970,Bos taurus
KP064302,Homo sapiens
KP064301,Homo sapiens
KP064300,Homo sapiens
KP064299,Homo sapiens
KP064298,Homo sapiens
KP064297,Homo sapiens
KP064296,Homo sapiens
KP064295,Homo sapiens
KP064294,Homo sapiens
KP064293,Homo sapiens
KP064292,Homo sapiens
KP064291,Homo sapiens
KP064290,Homo sapiens
KP064289,Homo sapiens
KP064288,Homo sapiens
KP064287,Homo sapiens
KP064286,Homo sapiens
KR187182,cattle
KR187181,cattle
KR187180,cattle
KR187179,cattle
KR187178,cattle
KR187177,cattle
KR187176,cattle
KR187175,cattle
KR187174,cattle
KR187173,cattle
KR187172,cattle
KR187171,cattle
KR187170,cattle
KR187169,cattle
KR187168,cattle
KR187167,cattle
KR187166,cattle
KR187165,cattle
KR187164,cattle
KR187163,cattle
KR187162,cattle
KR187161,cattle
KR187160,cattle
KR187159,cattle
KR187158,cattle
KR187157,cattle
KR187156,cattle
KR187155,cattle
KR187154,cattle
KR187153,cattle
KR187152,cattle
KR187151,cattle
KR187150,cattle
KR187149,cattle
KR187148,cattle
KR187147,cattle
KR187146,cattle
KR187145,cattle
KR187144,cattle
KR187143,cattle
KR187142,cattle
KR187141,cattle
KR187140,cattle
KR187139,cattle
KR187138,cattle
KR187137,cattle
KR187136,cattle
KR187135,cattle
KR187134,cattle
KR187133,cattle
KR187132,cattle
KR187131,cattle
KR187130,cattle
KR187129,cattle
KR187128,cattle
KR187127,cattle
KR187126,cattle
KR187125,cattle
KR187124,cattle
KR187123,cattle
KR187122,cattle
KR187121,cattle
KR187120,cattle
KR187119,cattle
KR187118,cattle
KR187117,cattle
KR187116,cattle
KR187115,cattle
KR187114,cattle
KR187113,cattle
KR187112,cattle
KR138670,cattle
KR138669,cattle
KR138668,cattle
KR138667,cattle
KR138666,cattle
KR138665,cattle
KR138664,cattle
KR138663,cattle
KR138662,cattle
KR138661,cattle
KR138660,cattle
KR138659,cattle
KR138658,cattle
KR138657,cattle
KR138656,cattle
KR138655,cattle
KR138654,cattle
KR138653,cattle
KR138652,cattle
KR138651,cattle
KR138650,cattle
KR138649,cattle
KR138648,cattle
KR138647,cattle
KR138646,cattle
KR138645,cattle
KR138644,cattle
KR138643,cattle
KR138642,cattle
KR138641,cattle
KR138640,cattle
KR138639,cattle
KR138638,cattle
KR138637,cattle
KR138636,cattle
KR138635,cattle
